Company Name,Contact Email,Role,Context/JD,Why I Love Them,Sent Status,Sent Time
TechNova AI,hiring@technova-ai.example.com,Machine Learning Engineer,Building next-gen recommendation systems.,I used their product last week and was blown away.,Yes,2026-02-13 10:42:05 UTC
CloudScale Systems,careers@cloudscale.example.com,Full Stack Developer,Seeking a developer for cloud infrastructure.,Their open-source monitoring dashboard is brilliant.,Yes,2026-02-16 00:08:47 UTC
DataPulse Analytics,jobs@datapulse.example.com,Data Scientist,Analyzing user behavior data to drive decisions.,Their recent blog post on real-time anomaly detection changed my perspective.,Yes,2026-02-16 00:11:07 UTC
Spearmint technologies,careers@spearmint.online,AI Engineer Intern,Use AI tools to write and debug code. ,I deeply respect their commitment to blending advanced AI automation with MERN infrastructure.,Yes,2026-02-16 03:58:33 UTC
Celigo,recruiting@celigo.com,Sr Data Integration Engineer,Redefining application integration pipelines. ,Their approach to simplifying complex ETL pipelines is the high-impact environment I want.,Yes,2026-02-16 05:41:09 UTC
Geetha Technology Solutions,inquiry@geethatech.com,Python AI Senior Engineer,Deep expertise required in Python AI. ,Their ability to scale AI solutions globally shows operational excellence.,Yes,2026-02-16 06:46:08 UTC
Crayon'd,life@crayond.com,UI/UX Designer,Remote-first agency seeking designers.,Their portfolio showcases an uncompromising dedication to user-centric design.,Yes,2026-02-16 07:43:43 UTC
Cardinality.ai,hr@cardyai.com,AI Solutions Architect,SaaS and AI development focusing on scaling.,Transitioning raw machine learning research into tangible SaaS is fascinating.,Yes,2026-02-16 08:30:26 UTC
Agrim Housing Finance,contact@agrimhfc.com,Artificial Intelligence Intern,Real-world AI projects improving fraud detection.,Applying computer vision to solve financial inclusion challenges in India is inspiring.,Yes,2026-02-16 09:34:10 UTC
iLink Talent,contact@ilinktalent.org,Technical Sourcer,Talent sourcing focusing on tech talent.,Their deep integration into the Chennai IT corridor gives them unparalleled insight.,Yes,2026-02-16 10:32:49 UTC
Bleap Integrated Marketing,info@bleap.in,Web Design Specialist,Full-service digital marketing agency.,I admire their holistic data-driven approach to digital marketing.,Yes,2026-02-16 11:26:07 UTC
KVN Promos,info@kvnpromos.in,UI/UX & Web Developer,Providing innovative online marketing.,Their longevity in the market since 2011 demonstrates remarkable business agility.,Yes,2026-02-16 12:02:06 UTC
Pearl Arc,info@pearlarc.com,Prompt Engineer,Developing and improving prompts for LLM.,I am impressed by their foresight to offer specialized Prompt Engineering services.,Yes,2026-02-16 13:36:51 UTC
Ratovate,contact@ratovate.com,AI Optimization Specialist,Refining AI models for consistency. ,Their dedication to minimizing hallucination through prompt optimization is excellent.,Yes,2026-02-16 14:29:15 UTC
Uplers,hello@uplers.com,React Engineer,End-to-end AI-hiring platform matching talent.,As an AI hiring platform their internal engineering standards are exceptionally high.,Yes,2026-02-16 15:23:18 UTC
Qbtrix Innovations,careers@qbtrix.example.com,SDE Internship,AI agent startup requiring LLM experience. ,Building autonomous AI agents is the bleeding edge of software engineering.,Yes,2026-02-16 16:06:13 UTC
Zeko AI,careers@zeko.example.com,Product Analyst Intern,Analyzing candidate experiences for AI interviews. ,Using AI to remove human bias in interviews is a noble and vital goal.,Yes,2026-02-16 17:02:36 UTC
Allo Innoware,hr@alloinnoware.example.com,AI Social Media Intern,Creating short-form videos using AI tools. ,Their integration of GenAI directly into content pipelines is the future of marketing.,Yes,2026-02-16 17:53:03 UTC
Lollypop Design Studio,careers@lollypop.design,UX Designer,Research wireframing and mentoring designers. ,Lollypop is a benchmark for UX excellence in India.,Yes,2026-02-17 01:10:42 UTC
Acowale,careers@acowale.example.com,Frontend Developer Intern,AI implementation for scientific interfaces.,Their AI initiatives being backed by Microsoft speaks volumes about their rigor.,Yes,2026-02-17 03:45:32 UTC
Testbuddy Education,hr@testbuddy.example.com,NextJS Developer Intern,Optimizing code and building UI components. ,Their commitment to building hyper-optimized educational platforms is wonderful.,Yes,2026-02-17 05:14:30 UTC
Innovative Tech Lab,careers@innovativetech.example,Offline LLM Engineer,Building offline intelligence pipelines. ,My personal projects utilizing offline privacy-first local models align perfectly.,Yes,2026-02-17 06:13:23 UTC
Hopple,hr@hopple.example.com,React Native Developer,Building a GenAI mobile application. ,Integrating GenAI directly into mobile consumer experiences is a fascinating challenge.,Yes,2026-02-17 08:03:24 UTC
Growth Hackers Digital,careers@growthhackers.digital,UI/UX Strategist,Designing user-centric digital solutions.,Their philosophy that great design must drive measurable business growth matches mine.,Yes,2026-02-17 09:03:11 UTC
AAPMOR Technologies,HR@aapmor.example.com,Business Analyst,Driving business analytics for operations.,Their recent pivot into predictive analytics is highly impressive.,Yes,2026-02-17 10:04:33 UTC
Asprcm Solutions,careers@asprcm.example.com,Data Analyst,Seeking data analyst for enterprise solutions.,I love how their data dashboards simplify complex metrics.,Yes,2026-02-17 11:05:39 UTC
Redcliffe Labs,recruitment@redcliffe.example.com,Operations Intern,Managing data and operations.,Their focus on healthcare diagnostics through tech is incredible.,Yes,2026-02-17 11:53:35 UTC
Mintwit,info@mintwit.example.com,Research Analyst Intern,Research and data management.,I rely on their market insights regularly for my own projects.,Yes,2026-02-17 13:08:54 UTC
RW Infotech,hr@rwinfotech.example.com,Backend Intern,Building secure backend APIs.,I admire their commitment to open source backend tools.,Yes,2026-02-18 01:45:00 UTC
Multiplier AI,hr@multiplierai.example.com,Market Research Intern,Market research in AI trends.,Their report on AI adoption changed my perspective completely.,Yes,2026-02-18 01:47:37 UTC
Varahe Analytics,khushboo@varahe.example.com,Legislative Research Intern,Analyzing legislative data.,Using analytics to decode policy is a brilliant mission.,Yes,2026-02-18 01:49:41 UTC
VeriPointTech,internship@veripoint.example.com,AI/ML Intern,Building predictive ML models.,Their machine learning deployment speed is industry-leading.,Yes,2026-02-18 01:51:58 UTC
